"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,-0.597668283058362,0.082,0.37,0,"Adrenal Gland_All_GW16","EEF1A1"
0,-0.61375825925147,0.215,0.477,0,"Adrenal Gland_All_GW16","RPS29"
0,-0.618170139335744,0.038,0.33,0,"Adrenal Gland_All_GW16","RPL10"
0,-0.618522511526072,0.046,0.23,0,"Adrenal Gland_All_GW16","AKR1B1"
0,-0.624241586381751,0.121,0.405,0,"Adrenal Gland_All_GW16","RPS27A"
0,-0.631179176927873,0.182,0.45,0,"Adrenal Gland_All_GW16","RPL31"
0,-0.631790576539547,0.117,0.323,0,"Adrenal Gland_All_GW16","TMSB10"
0,-0.641931726963104,0.056,0.277,0,"Adrenal Gland_All_GW16","FOS"
0,-0.648391403019778,0.001,0.154,0,"Adrenal Gland_All_GW16","HSD3B2"
0,-0.649907415773209,0.205,0.372,0,"Adrenal Gland_All_GW16","PEBP1"
0,-0.651047361569689,0.057,0.348,0,"Adrenal Gland_All_GW16","RPS3A"
0,-0.661167690735683,0.086,0.388,0,"Adrenal Gland_All_GW16","RPS19"
0,-0.700881132036024,0.1,0.391,0,"Adrenal Gland_All_GW16","RPS18"
0,-0.734232476695405,0.168,0.463,0,"Adrenal Gland_All_GW16","RPS14"
0,-0.798385820568777,0.046,0.389,0,"Adrenal Gland_All_GW16","RPL21"
0,-0.809576934388971,0.121,0.444,0,"Adrenal Gland_All_GW16","RPL34"
0,-1.05742823935406,0.076,0.342,0,"Adrenal Gland_All_GW16","FTH1"
0,-1.06067110545727,0.07,0.44,0,"Adrenal Gland_All_GW16","RPS27"
0,-1.07611138378588,0.155,0.447,0,"Adrenal Gland_All_GW16","B2M"
0,-1.15083523449139,0.294,0.476,0,"Adrenal Gland_All_GW16","FTL"
0,-1.47787234976755,0.069,0.399,0,"Adrenal Gland_All_GW16","TMSB4X"
1.65766664006421e-307,-0.113452884535521,0.044,0.123,4.35435873012066e-303,"Adrenal Gland_All_GW16","UQCRH"
4.89929835585431e-306,0.141851989722438,0.161,0.085,1.28694769211581e-301,"Adrenal Gland_All_GW16","ARHGAP18"
5.39524366917027e-305,-0.182250381682758,0.308,0.435,1.41722260701765e-300,"Adrenal Gland_All_GW16","GAPDH"
9.54087620916846e-304,0.116427660259537,0.135,0.065,2.50619736262437e-299,"Adrenal Gland_All_GW16","LARP4B"
4.2965018342637e-303,0.144002722823247,0.208,0.12,1.12860510182439e-298,"Adrenal Gland_All_GW16","SPTBN1"
8.49656628561117e-303,0.128119131270542,0.153,0.079,2.23187803190434e-298,"Adrenal Gland_All_GW16","IRS2"
1.4733644188724e-302,0.127201081216597,0.179,0.098,3.87023365549403e-298,"Adrenal Gland_All_GW16","GALNT2"
8.17828344772953e-300,0.116981125302047,0.145,0.073,2.14827149604959e-295,"Adrenal Gland_All_GW16","FOXK2"
3.01593635164118e-299,0.111165040933366,0.132,0.063,7.92226160849105e-295,"Adrenal Gland_All_GW16","CYP51A1"
5.99864725769536e-298,0.155039930115265,0.195,0.111,1.57572466165142e-293,"Adrenal Gland_All_GW16","ZEB2"
2.14983567557815e-297,0.15618675338,0.211,0.124,5.64718835260869e-293,"Adrenal Gland_All_GW16","TBX3"
1.52329026743698e-294,-0.113847354813642,0.072,0.16,4.00137887450346e-290,"Adrenal Gland_All_GW16","HNRNPK"
8.55735805013826e-293,-0.121721709141054,0.058,0.14,2.24784681261032e-288,"Adrenal Gland_All_GW16","ARPC2"
8.69702039515166e-293,0.147733535210156,0.223,0.134,2.28453331739844e-288,"Adrenal Gland_All_GW16","SREBF2"
4.59774140864437e-292,0.118705187896229,0.145,0.074,1.2077347132227e-287,"Adrenal Gland_All_GW16","NR5A1"
5.34603089151229e-286,-0.116495672326219,0.068,0.153,1.40429539458245e-281,"Adrenal Gland_All_GW16","POLR2L"
3.76674589263937e-285,-0.103741883467106,0.046,0.122,9.89448811078511e-281,"Adrenal Gland_All_GW16","PSMB1"
5.9082754602378e-284,-0.107784703585602,0.038,0.11,1.55198579789526e-279,"Adrenal Gland_All_GW16","MAP1LC3B"
2.45217021934321e-283,-0.101722266599349,0.037,0.109,6.44136073217075e-279,"Adrenal Gland_All_GW16","NDUFB9"
2.50722259393997e-281,-0.10945313829603,0.069,0.154,6.58597230976152e-277,"Adrenal Gland_All_GW16","TMEM59"
9.45811063569024e-281,-0.107271163828326,0.049,0.125,2.48445650178311e-276,"Adrenal Gland_All_GW16","PSME1"
3.50688433628477e-280,-0.121962740154332,0.079,0.166,9.21188377455285e-276,"Adrenal Gland_All_GW16","DYNLL1"
1.40379614299013e-279,-0.111094630659055,0.039,0.111,3.68749170840647e-275,"Adrenal Gland_All_GW16","SNHG5"
3.42135583799895e-279,-0.0947190136613356,0.033,0.102,8.98721751525565e-275,"Adrenal Gland_All_GW16","NDUFB8"
7.46398313165381e-277,-0.105523518733688,0.056,0.134,1.96063908902282e-272,"Adrenal Gland_All_GW16","EDF1"
1.45419164715186e-275,-0.113948335112223,0.066,0.148,3.8198706187385e-271,"Adrenal Gland_All_GW16","NDUFC1"
2.52111947438975e-274,-0.13011535279976,0.08,0.167,6.62247663532699e-270,"Adrenal Gland_All_GW16","HMGB1"
2.53439218682402e-274,-0.107771012443676,0.04,0.112,6.65734139634932e-270,"Adrenal Gland_All_GW16","HLA-E"
2.57444900246262e-274,0.107450923032068,0.123,0.06,6.76256263966882e-270,"Adrenal Gland_All_GW16","SMURF1"
4.02604994833407e-274,0.186099108599482,0.375,0.262,1.05756280042839e-269,"Adrenal Gland_All_GW16","ZBTB20"
1.69120181520176e-270,0.156109428232712,0.238,0.15,4.44244892817197e-266,"Adrenal Gland_All_GW16","ACTN4"
